Item_name,Date,p10,p50,p90,mean
0,2018-04-03 00:00:00,19291.804241259822,22146.203124999996,25172.29341305299,22182.585936409094
1,2018-04-03 00:00:00,14519.076022996016,15936.821171874997,17462.95986051555,15978.543432804063
2,2018-04-03 00:00:00,22102.831548582577,24262.785546875,26579.81687943451,24316.36444572772
0,2018-04-04 00:00:00,19656.680028244224,22890.691363182777,25880.591724578157,22916.7154854021
1,2018-04-04 00:00:00,11688.623835539282,13228.510416666666,15328.541054998055,13307.97444193097
2,2018-04-04 00:00:00,18344.10510436781,21112.78821745643,25288.169914311846,21319.277601649257
0,2018-04-05 00:00:00,20743.896741112643,24154.567065400603,27098.261035965206,24162.38461969459
1,2018-04-05 00:00:00,12565.697091137285,15338.836747818466,17612.75853854729,15245.849519314634
2,2018-04-05 00:00:00,17854.966581400415,22244.227607145313,25244.504671819992,21846.6215167253
0,2018-04-06 00:00:00,22107.750965311927,30736.226435141612,36690.77603816427,29841.359703797672
1,2018-04-06 00:00:00,17738.35978061551,24180.337457892692,28328.96005228316,23433.141278374118
2,2018-04-06 00:00:00,22408.58020388751,30894.389673035355,36453.93794282735,29943.732835632967
0,2018-04-07 00:00:00,20349.242033123315,26275.550527949334,31771.284216009066,26367.391707120896
1,2018-04-07 00:00:00,14174.648433595139,18429.854167144964,23636.845993553405,18339.695958782235
2,2018-04-07 00:00:00,18792.3699353395,24549.033063967774,29895.84320594966,24598.860361386265
0,2018-04-08 00:00:00,20288.331806337654,26028.352267865375,30925.457478040644,25762.332351079003
1,2018-04-08 00:00:00,13856.933287228097,17475.149666159075,21314.937882130995,17523.649079028186
2,2018-04-08 00:00:00,18159.97830656013,23152.42325103622,28516.589482655567,23258.93506762561
0,2018-04-09 00:00:00,19489.01850406772,24496.76188728815,30381.091444633897,24649.909446306847
1,2018-04-09 00:00:00,13256.831329762037,17341.160664719642,21267.77622606307,17389.65000549679
2,2018-04-09 00:00:00,16615.283331132166,23233.51880926769,28140.529255836398,22928.21215326939
0,2018-04-10 00:00:00,18642.53719807765,24484.720040180197,30083.719651723866,24382.131503330493
1,2018-04-10 00:00:00,12007.878313075933,16299.220567440225,20929.248274266596,16487.174319536836
2,2018-04-10 00:00:00,17062.093909090287,21832.833560422034,28334.126739108215,22396.631871261954
0,2018-04-11 00:00:00,18398.72490982061,24602.83944524497,32588.750786526452,24724.012472619568
1,2018-04-11 00:00:00,12816.077864641084,17076.978128299106,22841.462332963594,17379.934009796158
2,2018-04-11 00:00:00,17177.509939654676,22402.0478094683,29503.110611001513,22768.18580897388
0,2018-04-12 00:00:00,18231.833559712504,26341.88382628532,31067.50724225713,24832.54224028674
1,2018-04-12 00:00:00,12935.114993936657,18849.77517750615,22707.850192907372,18155.889281292588
2,2018-04-12 00:00:00,18144.510680342424,25151.38127629696,29566.445486716268,24176.24868643647
0,2018-04-13 00:00:00,19748.127388797653,25587.093906017297,34009.80786140252,26347.598573090858
1,2018-04-13 00:00:00,14323.17049702516,17887.72751278503,22874.802229098248,18084.0573364004
2,2018-04-13 00:00:00,19249.862224712102,24289.685474016656,31773.639576746278,24929.124810771005
0,2018-04-14 00:00:00,19689.585308698122,24987.7064928975,30221.760755698833,25146.536602170432
1,2018-04-14 00:00:00,13773.199033885654,17156.907855662874,20823.683937751186,17256.171172808186
2,2018-04-14 00:00:00,17892.45593250832,23227.25374776072,27759.492272179123,23096.206867778208
0,2018-04-15 00:00:00,19382.889194846968,24638.86531206384,29928.409128412066,24777.288564325918
1,2018-04-15 00:00:00,14577.30213522642,18165.06131777813,22415.653651473443,18211.403403969085
2,2018-04-15 00:00:00,18235.105473202344,23087.674892937564,27619.735953433454,22909.58731420534
0,2018-04-16 00:00:00,19043.648687822635,23132.48799229471,27173.5741543991,23125.15365156947
1,2018-04-16 00:00:00,12590.86583859831,16004.394786602465,18947.051015264165,15747.868831063332
2,2018-04-16 00:00:00,19022.87433354027,22772.773065809877,27597.275521703923,23227.158689618464
0,2018-04-17 00:00:00,18246.929598540773,22700.35490357211,27365.840706731276,22895.632611380977
1,2018-04-17 00:00:00,12403.288691935388,16059.701143696306,19090.477435328343,15911.999670447787
2,2018-04-17 00:00:00,17156.69995696687,21487.945712990335,26187.222632410565,21464.201481032323
0,2018-04-18 00:00:00,19289.215917693462,24102.40363932588,28404.79518452606,24141.435424154675
1,2018-04-18 00:00:00,13886.82974127922,16732.71142538635,20463.103972675228,16886.646728706895
2,2018-04-18 00:00:00,18498.482366382224,22785.71710429216,28188.35855661355,22791.123802147154
0,2018-04-19 00:00:00,21752.02624231638,28191.396115279647,32969.24894593959,27333.250452153934
1,2018-04-19 00:00:00,14661.779281636702,18631.44218948383,22774.046988252958,18677.998628236513
2,2018-04-19 00:00:00,20343.443279110474,26268.607184060325,30602.373755642002,25585.367329083587
0,2018-04-20 00:00:00,16908.804891764994,22667.954873805455,27670.47578106308,22730.448752179145
1,2018-04-20 00:00:00,14056.179538444489,17337.931658575253,20918.628153596594,17374.462202128998
2,2018-04-20 00:00:00,17583.42380922727,21789.94384015751,27452.601056666383,21915.497495477724
0,2018-04-21 00:00:00,17796.025618030064,22549.701008032265,27117.880224682707,22422.214052948955
1,2018-04-21 00:00:00,14036.588197775262,17223.401685940888,20981.185808990558,17484.186280040467
2,2018-04-21 00:00:00,16206.514465800075,20827.708478335917,24928.334832154982,20822.971763853195
0,2018-04-22 00:00:00,18702.398430920755,23429.261861750736,28051.655167887828,23268.87117667206
1,2018-04-22 00:00:00,13537.416079212515,16616.266348665173,19433.81912684463,16473.422237809857
2,2018-04-22 00:00:00,16434.291001274396,20746.27686743197,25623.90386899624,20963.96120224378
0,2018-04-23 00:00:00,15234.435875017836,19931.153621913858,24505.105645607524,19854.04561075721
1,2018-04-23 00:00:00,10790.495060614909,14377.298202547758,17280.16084897739,14287.018457300488
2,2018-04-23 00:00:00,15002.870230295317,19388.95779352846,23705.987067802598,19440.148014585473
0,2018-04-24 00:00:00,15689.382565108612,20309.6502546933,25332.387410996238,20329.721651454776
1,2018-04-24 00:00:00,11904.65938678548,15179.203863880346,18582.965773313583,15185.470054597761
2,2018-04-24 00:00:00,14768.33623760099,18866.083443065552,23709.017823692557,19048.93436015497
0,2018-04-25 00:00:00,13432.492454036643,18336.74263465711,23462.248872116936,18547.103929513076
1,2018-04-25 00:00:00,11393.819697409224,14636.104626125292,18181.130597892112,14742.97837513359
2,2018-04-25 00:00:00,15105.59165656779,19858.982746281174,25603.17340643866,19970.68149220537
0,2018-04-26 00:00:00,15112.647226004434,20955.597660970856,28766.624565684004,21640.814831073712
1,2018-04-26 00:00:00,13151.501387020704,16306.872116282168,21071.920066789826,16749.363345726553
2,2018-04-26 00:00:00,14363.841284296694,19554.141233177263,26289.314824401354,20102.71808602731
0,2018-04-27 00:00:00,14295.954189404749,19768.338276252154,24658.82655352076,19643.7763720706
1,2018-04-27 00:00:00,11921.071819031438,15770.69864843239,19679.651777273837,15869.337146692227
2,2018-04-27 00:00:00,13828.374792439918,18790.349969442723,23120.913179759857,18597.817587060432
0,2018-04-28 00:00:00,14342.166749400341,19548.888194972176,24524.938062120433,19375.380786409092
1,2018-04-28 00:00:00,11243.964239177889,15468.43516659034,19482.468176627146,15412.31595718495
2,2018-04-28 00:00:00,13577.681576918592,18299.272823915955,23256.137053841234,18157.459384135036
0,2018-04-29 00:00:00,14151.366964449986,19210.789117449385,24521.732137206498,19286.343769907355
1,2018-04-29 00:00:00,10241.46251726664,14291.875626347704,17592.159209592523,14062.849266679665
2,2018-04-29 00:00:00,13277.526013695031,17342.659792568695,22781.067089410666,17699.559676039884
0,2018-04-30 00:00:00,11867.438503999098,17332.96616116369,22104.04735128155,17114.715049750343
1,2018-04-30 00:00:00,10074.0632889224,13504.258259513797,16616.56955061503,13409.379005998739
2,2018-04-30 00:00:00,12956.744987047086,17601.184162235797,22320.11007562565,17541.022730175628
0,2018-05-01 00:00:00,11984.511402851505,17520.18892277725,22789.178474940512,17521.319008076225
1,2018-05-01 00:00:00,9380.481488504867,12847.753270255314,16339.470910891683,12849.929341599593
2,2018-05-01 00:00:00,12536.729740830184,16915.115067710874,21035.950901166027,16765.454584467738
0,2018-05-02 00:00:00,12680.039736072558,17906.38280169046,23014.01062620869,17962.771584893366
1,2018-05-02 00:00:00,9439.230085652665,12732.853977045053,16598.107684095015,12906.663599852094
2,2018-05-02 00:00:00,11559.36794399724,16207.836243223985,20459.81239548418,16185.016745115783
0,2018-05-03 00:00:00,13420.666354092175,18312.315925392693,26698.795062988673,19516.538985309344
1,2018-05-03 00:00:00,9527.900981104389,13341.326541628916,18691.650121579776,13753.84365617438
2,2018-05-03 00:00:00,12970.595455063085,17826.43573173449,24551.94040214757,18279.64335332732
